Warehouse,Part_No,Date,Demand,Material_Description
1110,MF472127,2024-07,1740.0,
1110,ID364170,2024-07,3115.0,
1110,ID370657,2024-07,1994.0,
1110,ID377754,2024-07,2043.0,
1110,ID378974,2024-07,2019.0,
1110,IA202651,2024-08,790.0,
1110,IA203086,2024-08,870.0,
1110,IA203416,2024-08,1149.0,
1110,IA215142,2024-08,567.0,
1110,IA215577,2024-08,753.0,
1110,IA215578,2024-08,1512.0,
1110,IA301086,2024-08,2335.0,
1110,IA328687,2024-08,710.0,
1110,IA329978,2024-08,2233.0,
1110,IB002922,2024-08,2644.0,
1110,IB999850,2024-08,534.0,
1110,ID201024,2024-08,1745.0,
1110,ID206974,2024-08,954.0,
1110,ID301958,2024-08,2234.0,
1110,ID304913,2024-08,1380.0,
1110,ID309786,2024-08,2808.0,
1110,ID332218,2024-08,1813.0,
1110,ID332219,2024-08,876.0,
1110,ID334315,2024-08,2694.0,
1110,IE314595,2024-08,2400.0,
1110,IF000466,2024-08,1215.0,
1110,IM300205,2024-08,6133.0,
1110,MB344408,2024-08,1460.0,
1110,ME074696,2024-08,1576.0,
1110,MF434103,2024-08,1770.0,
1110,MF434104,2024-08,1170.0,
1110,MF434105,2024-08,1530.0,
1110,MF445086,2024-08,1350.0,
1110,MF472127,2024-08,1200.0,
1110,ID364170,2024-08,434.0,
1110,ID370657,2024-08,2362.0,
1110,ID377754,2024-08,2204.0,
1110,ID378974,2024-08,1763.0,
1110,IA202651,2024-09,927.0,
1110,IA203086,2024-09,820.0,
1110,IA203416,2024-09,1606.0,
1110,IA215142,2024-09,760.0,
1110,IA215577,2024-09,1009.0,
1110,IA215578,2024-09,1106.0,
1110,IA301086,2024-09,2301.0,
1110,IA328687,2024-09,1360.0,
1110,IA329978,2024-09,1080.0,
1110,IB002922,2024-09,4843.0,
1110,IB999850,2024-09,645.0,
1110,ID201024,2024-09,3860.0,
1110,ID206974,2024-09,1564.0,
1110,ID301958,2024-09,3403.0,
1110,ID304913,2024-09,1649.0,
1110,ID309786,2024-09,2684.0,
1110,ID332218,2024-09,1382.0,
1110,ID332219,2024-09,950.0,
1110,ID334315,2024-09,1670.0,
1110,IE314595,2024-09,1830.0,
1110,IF000466,2024-09,1652.0,
1110,IM300205,2024-09,4600.0,
1110,MB344408,2024-09,1380.0,
1110,ME074696,2024-09,1512.0,
1110,MF434103,2024-09,2820.0,
1110,MF434104,2024-09,2910.0,
1110,MF434105,2024-09,2430.0,
1110,MF445086,2024-09,1110.0,
1110,MF472127,2024-09,1920.0,
1110,ID364170,2024-09,1086.0,
1110,ID370657,2024-09,1502.0,
1110,ID377754,2024-09,1437.0,
1110,ID378974,2024-09,1140.0,
1110,IA202651,2024-10,520.0,
1110,IA203086,2024-10,410.0,
1110,IA203416,2024-10,1308.0,
1110,IA215142,2024-10,1279.0,
1110,IA215577,2024-10,1278.0,
1110,IA215578,2024-10,871.0,
1110,IA301086,2024-10,2717.0,
1110,IA328687,2024-10,2171.0,
1110,IA329978,2024-10,780.0,
1110,IB002922,2024-10,5387.0,
1110,IB999850,2024-10,502.0,
1110,ID201024,2024-10,2844.0,
1110,ID206974,2024-10,706.0,
1110,ID301958,2024-10,4857.0,
1110,ID304913,2024-10,2059.0,
1110,ID309786,2024-10,2920.0,
1110,ID332218,2024-10,1556.0,
1110,ID332219,2024-10,1080.0,
1110,ID334315,2024-10,1767.0,
1110,IE314595,2024-10,1350.0,
1110,IF000466,2024-10,888.0,
1110,IM300205,2024-10,8040.0,
1110,MB344408,2024-10,1300.0,
1110,ME074696,2024-10,1424.0,
1110,MF434103,2024-10,2040.0,
1110,MF434104,2024-10,1530.0,
1110,MF434105,2024-10,1991.0,
1110,MF445086,2024-10,1280.0,
1110,MF472127,2024-10,1140.0,
1110,ID364170,2024-10,1160.0,
1110,ID370657,2024-10,1835.0,
1110,ID377754,2024-10,1541.0,
1110,ID378974,2024-10,989.0,
1110,IA202651,2024-11,1001.0,
1110,IA203086,2024-11,1710.0,
1110,IA203416,2024-11,2167.0,
1110,IA215142,2024-11,1256.0,
1110,IA215577,2024-11,1636.0,
1110,IA215578,2024-11,1451.0,
1110,IA301086,2024-11,2165.0,
1110,IA328687,2024-11,1490.0,
1110,IA329978,2024-11,990.0,
1110,IB002922,2024-11,4705.0,
1110,IB999850,2024-11,534.0,
1110,ID201024,2024-11,6001.0,
1110,ID206974,2024-11,1549.0,
1110,ID301958,2024-11,6522.0,
1110,ID304913,2024-11,1965.0,
1110,ID309786,2024-11,2728.0,
1110,ID332218,2024-11,935.0,
1110,ID332219,2024-11,1019.0,
1110,ID334315,2024-11,2155.0,
1110,IE314595,2024-11,1650.0,
1110,IF000466,2024-11,1556.0,
1110,IM300205,2024-11,6080.0,
1110,MB344408,2024-11,1980.0,
1110,ME074696,2024-11,1304.0,
1110,MF434103,2024-11,2610.0,
1110,MF434104,2024-11,2040.0,
1110,MF434105,2024-11,1890.0,
1110,MF445086,2024-11,1490.0,
1110,MF472127,2024-11,1916.0,
1110,ID364170,2024-11,3746.0,
1110,ID370657,2024-11,1726.0,
