Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class,XYZ_Class,ABC_XYZ,Forecast_Strategy
1153,IF000504,105392.0,1573.01,590.76,0.38,67,0.0,Fast Moving,0.1113003898898638,11.920132145928962,A,X,AX,Holt-Winters
1110,IA202651,105200.0,1570.15,586.16,0.37,67,0.0,Fast Moving,0.1110976261615082,12.03122977209047,A,X,AX,Holt-Winters
1153,MB394519,103782.0,1548.99,418.94,0.27,67,0.0,Fast Moving,0.1096001315427153,12.140829903633184,A,X,AX,Holt-Winters
1153,IA208182,103443.0,1543.93,535.95,0.35,67,0.0,Fast Moving,0.1092421268348374,12.250072030468022,A,X,AX,Holt-Winters
1153,IA329978,103402.0,1543.31,669.5,0.43,67,0.0,Fast Moving,0.1091988283303448,12.359270858798366,A,X,AX,Holt-Winters
1110,IF000466,101380.0,1513.13,563.02,0.37,67,0.0,Fast Moving,0.1070634728160998,12.466334331614464,A,X,AX,Holt-Winters
1153,ME603242,101211.0,1510.61,429.24,0.28,67,0.0,Fast Moving,0.1068849984927035,12.573219330107168,A,X,AX,Holt-Winters
1110,IA329978,100844.0,1505.13,906.22,0.6,67,0.0,Fast Moving,0.1064974240744404,12.679716754181609,A,Y,AY,ARIMA
1110,ID304913,100655.0,1502.31,685.2,0.46,67,0.0,Fast Moving,0.1062978285293404,12.78601458271095,A,X,AX,Holt-Winters
1155,MF434104,99270.0,1481.64,472.7,0.32,67,0.0,Fast Moving,0.1048351839263586,12.890849766637308,A,X,AX,Holt-Winters
1110,ID378974,98214.0,1465.88,1549.47,1.06,47,0.3,Fast Moving,0.1037199834204027,12.99456975005771,A,Z,AZ,ARIMA
1153,ID205077,97992.0,1462.57,437.23,0.3,67,0.0,Fast Moving,0.1034855378594916,13.098055287917202,A,X,AX,Holt-Winters
