Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,IA205214,71.0,1.06,2.58,2.43,26,0.61,Fast Moving
1152,IA205229,102.0,1.52,2.94,1.93,22,0.67,Slow Moving
1152,IA205260,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA205261,3.0,0.04,0.27,6.02,2,0.97,Intermittent
1152,IA205280,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA205284,804.0,12.0,14.69,1.22,58,0.13,Fast Moving
1152,IA205285,844.0,12.6,11.19,0.89,57,0.15,Fast Moving
1152,IA205287,696.0,10.39,14.46,1.39,39,0.42,Fast Moving
1152,IA205288,368.0,5.49,6.7,1.22,49,0.27,Fast Moving
1152,IA205289,868.0,12.96,14.26,1.1,42,0.37,Fast Moving
1152,IA205291,178.0,2.66,3.84,1.45,41,0.39,Fast Moving
1152,IA205292,4833.0,72.13,93.89,1.3,65,0.03,Fast Moving
1152,IA205293,7228.0,107.88,165.82,1.54,67,0.0,Fast Moving
1152,IA205294,137.0,2.04,3.1,1.52,30,0.55,Fast Moving
1152,IA205295,166.0,2.48,3.4,1.37,33,0.51,Fast Moving
1152,IA205296,5.0,0.07,0.31,4.21,4,0.94,Intermittent
1152,IA205305,2675.0,39.93,22.69,0.57,67,0.0,Fast Moving
1152,IA205311,1220.0,18.21,25.91,1.42,35,0.48,Fast Moving
1152,IA205320,2044.0,30.51,28.08,0.92,67,0.0,Fast Moving
1152,IA205324,204.0,3.04,8.04,2.64,16,0.76,Slow Moving
1152,IA205331,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA205332,16.0,0.24,0.93,3.9,5,0.93,Intermittent
1152,IA205334,30.0,0.45,2.07,4.62,3,0.96,Intermittent
1152,IA205351,6.0,0.09,0.29,3.19,6,0.91,Slow Moving
1152,IA205360,28.0,0.42,1.28,3.07,10,0.85,Slow Moving
1152,IA205361,32.0,0.48,1.12,2.35,14,0.79,Slow Moving
1152,IA205362,31.0,0.46,1.18,2.54,16,0.76,Slow Moving
1152,IA205363,25.0,0.37,0.99,2.65,12,0.82,Slow Moving
